23428,FALSE,unknown,Animalia,Vertebrata,Reptilia ,Ornithischia, Ceratopsia gen. sp.,,,,,,,,,,,,,,,
20031,FALSE,"(Linnaeus, 1758)",Animalia,Vertebrata,Aves,Passeriformes,Icteridae,Dolichonyx, Dolichonyx oryzivorus,,,,,,,,,,,,,
21207,FALSE,"Swainson, 1832",Animalia,Vertebrata,Aves,Passeriformes,Emberizidae,Zonotrichia, Zonotrichia sp.,,,,,,,,,,,,,
23849,FALSE,"Miller, 1754",Plantae,Tracheophyta,Spermatophyta,Pan-Coniferae,Coniferae,Pinaceae,?Abies,,,,,,,,,,,,,
22582,FALSE,"Vieillot, 1816",Animalia,Vertebrata,Aves,Passeriformes,Icteridae,?Agelaius,,,,,,,,,,,,,,
19738,FALSE,"(Linnaeus, 1758)",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Cairinini,?Aix sponsa,,,,,,,,,,,,
7055,FALSE,"(Linnaeus, 1758)",Animalia,Vertebrata,Mammalia,?Alces alces,,,,,,,,,,,,,,,,
13736,FALSE,"Gray, 1821",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Alces sp.,,,,,,,,,,,,,,
13588,TRUE,"Downey, 1970",Animalia,Vertebrata,Mammalia,Lagomorpha,?Aluralagus virginiae,,,,,,,,,,,,,,,
14180,FALSE,"Gray, 1825",Animalia,Vertebrata,?Amphibia,,,,,,,,,,,,,,,,,
26946,FALSE,"Pfitzer, 1871",Algae,Bacillariophyta,Pennales,Anomoeoneidaceae,?Anomoeoneis sp.,,,,,,,,,,,,,,,
19512,FALSE,"Vigors, 1825",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,?Anserinae,,,,,,,,,,,,,,
13838,FALSE,"Ord, 1818",Animalia,Vertebrata,Mammalia,Artiodactyla,Antilocapridae,?Antilocapra sp.,,,,,,,,,,,,,,
21196,FALSE,"(Vigors, 1839)",Animalia,Vertebrata,Aves,Passeriformes,Corvidae,?Aphelocoma californica,,,,,,,,,,,,,,
14191,TRUE,"Dice, 1929",Animalia,Vertebrata,Mammalia,Lagomorpha,Leporidae,?Archaeolaginae,,,,,,,,,,,,,,
14179,FALSE,"Owen, 1848",Animalia,Vertebrata,Mammalia,?Artiodactyla,,,,,,,,,,,,,,,,
20797,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,?Aves,,,,,,,,,,,,,,,,,
13745,TRUE,"Coues, 1887",Animalia,Vertebrata,Mammalia,Carnivora,Procyonidae,?Bassariscus sp.,,,,,,,,,,,,,,
15313,TRUE,"Leidy, 1852",,,,,,,,,,,,,,,,,,,,
7056,TRUE,"Leidy, 1852",Animalia,Vertebrata,Mammalia,?Bison bison antiquus,,,,,,,,,,,,,,,,
13430,TRUE,"Harlan, 1825",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Bison latifrons,,,,,,,,,,,,,,
13431,TRUE,"Bojanus, 1827",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Bison priscus,,,,,,,,,,,,,,
13432,FALSE,"H. Smith, 1827",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Bison sp.,,,,,,,,,,,,,,
13779,FALSE,"Gray, 1838",Animalia,Vertebrata,Mammalia,Lipotyphla,Soricomorpha,Soricidae,?Blarina sp.,,,,,,,,,,,,,
13776,TRUE,"Leidy, 1852",Animalia,Vertebrata,Mammalia,Artiodactyla,Bovidae,?Bootherium sp.,,,,,,,,,,,,,,
13732,TRUE,"Cope, 1892",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Borophagus sp.,,,,,,,,,,,,,,
14115,FALSE,"Gray, 1821",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Bovidae,,,,,,,,,,,,,,
19475,FALSE,"(Linnaeus, 1758)",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anserinae,?Branta canadensis,,,,,,,,,,,,,
13812,FALSE,"Waterhouse, 1837",Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,?Calomys sp.,,,,,,,,,,,,,,
13665,FALSE,"Gray, 1821",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Camelidae,,,,,,,,,,,,,,
13654,TRUE,"(Leidy, 1873)",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Camelops hesternus,,,,,,,,,,,,,,
