id,value
Animalia_Vertebrata_Reptilia _Ornithischia_ Ceratopsia gen. sp.,100
Animalia_Vertebrata_Aves_Passeriformes_Icteridae_Dolichonyx_ Dolichonyx oryzivorus,100
Animalia_Vertebrata_Aves_Passeriformes_Emberizidae_Zonotrichia_ Zonotrichia sp.,100
Plantae_Tracheophyta_Spermatophyta_Pan-Coniferae_Coniferae_Pinaceae_?Abies,100
Animalia_Vertebrata_Aves_Passeriformes_Icteridae_?Agelaius,100
Animalia_Vertebrata_Aves_Anseriformes_Anatidae_Anatinae_Cairinini_?Aix sponsa,100
Animalia_Vertebrata_Mammalia_?Alces alces,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Alces sp.,100
Animalia_Vertebrata_Mammalia_Lagomorpha_?Aluralagus virginiae,100
Animalia_Vertebrata_?Amphibia,100
Algae_Bacillariophyta_Pennales_Anomoeoneidaceae_?Anomoeoneis sp.,100
Animalia_Vertebrata_Aves_Anseriformes_Anatidae_?Anserinae,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Antilocapridae_?Antilocapra sp.,100
Animalia_Vertebrata_Aves_Passeriformes_Corvidae_?Aphelocoma californica,100
Animalia_Vertebrata_Mammalia_Lagomorpha_Leporidae_?Archaeolaginae,100
Animalia_Vertebrata_Mammalia_?Artiodactyla,100
Animalia_Vertebrata_?Aves,100
Animalia_Vertebrata_Mammalia_Carnivora_Procyonidae_?Bassariscus sp.,100
,100
Animalia_Vertebrata_Mammalia_?Bison bison antiquus,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Bison latifrons,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Bison priscus,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Bison sp.,100
Animalia_Vertebrata_Mammalia_Lipotyphla_Soricomorpha_Soricidae_?Blarina sp.,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Bovidae_?Bootherium sp.,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Borophagus sp.,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Bovidae,100
Animalia_Vertebrata_Aves_Anseriformes_Anatidae_Anserinae_?Branta canadensis,100
Animalia_Vertebrata_Mammalia_Rodentia_Cricetidae_?Calomys sp.,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Camelidae,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Camelops hesternus,100
Animalia_Vertebrata_Mammalia_?Camelops sp.,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Canis armbrusteri,100
,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Canis latrans,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Canis lepophagus,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Canis lupus,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Canis lupus familiaris,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Canis sp.,100
Animalia_Vertebrata_Mammalia_?Capra hircus,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Antilocapridae_?Capromeryx sp.,100
Animalia_Vertebrata_Mammalia_?Carnivora,100
Animalia_Vertebrata_Mammalia_?Castor canadensis,100
Animalia_Vertebrata_Mammalia_Rodentia_Castoridae_?Castor sp.,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Cervidae,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Cervus elaphus,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Cervus sp.,100
Animalia_Vertebrata_Aves_Caprimulgiformes_Caprimulgidae_?Chordeiles minor,100
Animalia_Vertebrata_Mammalia_Lipotyphla_Soricomorpha_Talpidae_?Condylura sp.,100
Animalia_Vertebrata_Mammalia_Rodentia_Geomyidae_?Cratogeomys castanops,100
Animalia_Vertebrata_Mammalia_Proboscidea_Proboscidea incertae sedis_?Cuvieronius sp.,100
Animalia_Vertebrata_Mammalia_Rodentia_?Cynomys ludovicianus,100
,100
Animalia_Vertebrata_Mammalia_Cetacea_Odontoceti_Monodontidae_?Delphinapterus sp.,100
Animalia_Vertebrata_Mammalia_Rodentia_?Dicrostonyx sp.,100
Animalia_Vertebrata_Mammalia_Perissodactyla_Equidae_?Dinohippus sp.,100
