parent,name,display
533,1,Abies
694,2,Acalypha
338,3,Acer saccharum-type
338,4,Acer negundo
338,5,Acer pensylvanicum
338,6,Acer rubrum
338,7,Acer saccharinum-type
338,8,Acer spicatum
338,9,Acer undiff.
9555,10,Adiantum
3555,11,Aesculus
557,12,Allium
330,13,Alnus incana-type
24464,14,Alnus viridis-type
330,15,Alnus undiff.
3668,16,Ambrosia-type
9690,17,Amorpha-type
347,18,Anacardiaceae undiff.
228,19,Apocynum
5481,20,Spermatophyta undiff. (aquatics)
9101,21,Aquifoliaceae
9099,22,Araliaceae
24094,23,Arceuthobium
3854,24,Armeria
22590,25,Artemisia
9551,26,Athyrium
5032,27,Azolla
418,28,Berlandiera-type
327,29,Betula
30,30,Betula mean pollen-grain diameter
418,31,Bidens-type
9656,32,Boraginaceae
1068,33,Botrychium
9506,34,Brasenia schreberi
1847,36,Bumelia
2036,37,Bursera
3123,38,Cabomba
698,39,Callitriche
350,40,Caltha
351,41,Campanulaceae undiff.
9115,42,Cannabaceae sensu stricto
394,43,Caprifoliaceae undiff.
1710,44,Carya
3392,45,Caryophyllaceae
1101,46,Chamaecrista
328,47,Castanea
256,48,Ceanothus
9115,49,Celtis
733,50,Cephalanthus
4245,51,Ceratiola ericoides
594,52,Chamaecyparis
9124,53,Chamaedaphne calyculata
391,54,Amaranthaceae undiff.
9133,55,Cistaceae
390,56,Citrus
74,57,Cladium
9148,58,Clethra
702,59,Coccoloba
1657,60,Comandra
409,61,Asteraceae undiff.
963,62,Iva annua-type
63,63,Pollen concentration
329,64,Pinaceae undiff.
361,65,Cornus undiff.
327,67,Corylus
9122,68,Crassulaceae
483,69,Crataegus-type
420,70,Brassicaceae undiff.
1358,72,Cupressaceae
1327,73,Cuscuta
9108,74,Cyperaceae
9149,75,Cyrilla racemiflora
9508,76,Decodon verticillatus
848,78,Diapensiaceae
15529,79,Diospyros-type
1136,80,Dodonaea
2266,81,Drosera
483,82,Dryas-type
9541,83,Dryopteris-type
365,84,Elaeagnus
9116,85,Elaeagnaceae
4245,86,Empetrum
366,87,Ephedra undiff.
817,88,Ephedra viridis-type
816,89,Ephedra trifurca-type
445,90,Epilobium
9775,91,Equisetum
848,92,Ericaceae
1778,93,Eriocaulon
702,94,Eriogonum
95,95,Eucalyptus spike
96,96,Eucalyptus suspension
97,97,Eucalyptus tablets
883,102,Eugenia
1562,103,Euonymus
694,104,Euphorbia
702,106,Fagopyrum
328,107,Fagus
676,108,Polypodiophyta undiff.
2339,109,Forestiera
369,110,Fraxinus (tetracolpate)
369,111,Fraxinus (tricolpate)
369,112,Fraxinus nigra-type
369,113,Fraxinus pennsylvanica-type
369,114,Fraxinus undiff.
535,115,Fungi undiff.
1416,116,Galium
9125,117,Gaultheria
9125,118,Gaylussacia
9100,119,Gentianaceae
1178,120,Geranium
483,121,Geum-type
1880,122,Gleditsia
391,123,Gomphrena-type
1840,124,Gordonia
417,125,Poaceae undiff.
9122,126,Haloragaceae
2095,127,Angiospermae undiff. (herbs)
9509,129,Hippuris vulgaris
42,130,Humulus-type
1585,131,Hydrophyllum
5676,132,Hypericum
417,134,Elymus
21,135,Ilex
3460,136,Impatiens
7636,138,Iridaceae
9537,139,Isoí‚tes
2274,140,Itea
963,142,Iva undiff.
3668,143,Cyclachaena xanthiifolia-type
372,144,Juglans cinerea
372,145,Juglans nigra
372,146,Juglans undiff.
9108,147,Juncaceae
4245,148,Kalmia
9510,149,Koenigia islandica
460,150,Lamiaceae undiff.
2333,151,Laguncularia
1816,152,Laportea-type
373,153,Larix
55,154,Lechea
259,155,Rhododendron subsect. Ledum
92,156,Rhododendron subsect. Ledum/Chamaedaphne calyculata
346,157,Fabaceae undiff.
9511,158,Leitneria floridana
859,159,Araceae subf. Lemnoideae
409,160,Asteraceae subf. Cichorioideae
341,161,Liliaceae undiff.
9512,162,Liquidambar
3395,163,Liriodendron
21811,164,Lonicera
2546,165,Viscaceae sensu stricto
1180,166,Lycopodiaceae undiff.
2661,167,Diphasiastrum alpinum
5011,168,Lycopodium annotinum
9513,169,Pseudolycopodiella caroliniana
5011,170,Lycopodium clavatum
2662,171,Diphasiastrum complanatum-type
1179,172,Lycopodiella inundata
2642,173,Huperzia lucidula
5011,174,Lycopodium obscurum
2642,175,Huperzia selago
5464,176,Lycopus-type
539,177,Lysimachia undiff.
377,178,Maclura pomifera-type
3395,179,Magnolia
9133,180,Malvaceae
9690,181,Melilotus-type
9505,182,Menyanthes trifoliata
346,183,Fabaceae subf. Mimosoideae
348,184,Unknown (monolete) undiff.
1816,185,Moraceae
185,186,Morus
659,187,Bryopsida undiff.
126,188,Myriophyllum
21,189,Nemopanthus
673,190,Nuphar
673,191,Nymphaeaceae undiff.
673,192,Nymphaea
4577,193,Nyssa
445,194,Onagraceae undiff.
2339,195,Osmanthus
509,196,Osmunda undiff.
327,197,Ostrya/Carpinus
9503,198,Oxyria digyna
9102,199,Arecaceae
1562,200,Parnassia
3480,201,Parthenocissus
5125,202,Pediastrum
431,203,Dalea undiff.
431,204,Dalea candida-type
431,205,Dalea purpurea-type
1585,206,Phacelia
210,207,Picea glauca-type
210,208,Picea mariana-type
210,209,Picea rubens-type
533,210,Picea
212,211,Pinus clausa-type
385,212,Pinus subg. Pinus
385,213,Pinus subg. Strobus
385,216,Pinus undiff.
9514,217,Planera aquatica
480,218,Plantago undiff.
480,219,Plantago major
480,220,Plantago lanceolata
480,221,Plantago media
15512,222,Platanus
848,223,Polemoniaceae
1881,224,Polygalaceae
702,225,Polygonaceae undiff.
15529,226,Anacardiaceae-type
481,227,Polygonella fimbriata/P. myriophylla
9100,228,Apocynaceae
9520,229,Polygonum undiff.
9515,230,Persicaria amphibia
2291,231,Polygonum aviculare-type
9517,232,Bistorta bistortoides-type
9515,233,Persicaria lapathifolia-type
9541,234,Polypodiaceae
9541,235,Polypodium-type
9118,236,Pontederiaceae
389,237,Populus undiff.
389,238,Populus balsamifera-type
389,239,Populus tremuloides-type
7656,240,Portulacaceae
517,241,Potamogeton undiff.
483,242,Potentilla-type
848,244,Primulaceae
483,245,Prunus-type
978,246,Pseudotsuga
1265,247,Pteridium-type
2546,248,Arceuthobium/Loranthaceae
483,250,Pyrus-type
328,251,Quercus
350,252,Ranunculaceae undiff.
549,253,Ranunculus undiff.
1897,254,Myrsine
726,255,Rhamnaceae/Vitaceae undiff.
9116,256,Rhamnaceae
9117,257,Combretaceae/Melastomataceae
3030,258,Rhizophora
4245,259,Rhododendron
347,260,Rhus
74,261,Rhynchospora
2274,262,Ribes
9690,263,Robinia
330,264,Alnus rubra-type
4764,265,Rosaceae trees undiff.
733,266,Rubiaceae undiff.
483,267,Rubus
9504,268,Rumex
199,269,Sabal
1177,270,Sagittaria
1746,271,Salix
271,272,Salix herbacea
271,273,Salix vestita
1279,274,Salsola
9524,275,Sambucus
276,276,Sample quantity
483,277,Sanguisorba
1136,278,Sapindus
7655,279,Sarcobatus vermiculatus
9147,280,Sarracenia
282,281,Saxifraga-type
9122,282,Saxifragaceae
9530,283,Scheuchzeria palustris
9096,284,Scrophulariaceae
4102,285,Sedum
9537,286,Selaginella
199,287,Serenoa
542,288,Shepherdia undiff.
365,289,Shepherdia argentea
542,290,Shepherdia canadensis
,291,Shrubs undiff.
543,292,Solanaceae undiff.
9774,293,Sparganium-type
1244,294,Sphagnum
483,295,Spiraea-type
313,296,Unknown undiff.
1858,297,Symplocos
395,298,Taxodium
16999,299,Taxus
350,300,Thalictrum
878,301,Tillandsia
1714,302,Tilia
,303,Trees undiff.
9115,304,Trema
339,305,Unknown (trilete) undiff.
329,306,Tsuga
418,307,Asteraceae subf. Asteroideae undiff.
9774,308,Typha/Sparganium
1268,309,Typha latifolia
1203,310,Ulmus
9099,311,Apiaceae
1414,312,Indeterminable
1414,313,Unknown
1903,314,Urtica-type
464,315,Urticaceae undiff.
2018,316,Utricularia
9125,317,Vaccinium
2896,318,Valeriana
397,319,Viburnum undiff.
1108,320,Vitis
9551,321,Woodsia
3668,322,Xanthium
538,323,Zea mays
324,324,Microspheres
325,325,Microsphere suspension
5125,326,Botryococcus
1259,327,Betulaceae
9129,328,Fagaceae
1944,329,Pinaceae
327,330,Alnus
2313,332,Viola
183,333,Schrankia
138,334,Sisyrinchium
9553,335,Matteuccia
1278,336,Lythrum
5480,337,Aquilapollenites
3555,338,Acer
313,339,Unknown (trilete)
7638,341,Liliaceae
330,344,Alnus incana
3668,345,Ambrosia
1881,346,Fabaceae
9097,347,Anacardiaceae
313,348,Unknown (monolete)
22954,349,Bidens
9107,350,Ranunculaceae
9104,351,Campanulaceae
806,352,Humulus/Cannabis sativa
24464,353,Alnus viridis
483,354,Amelanchier-type
483,355,Rosaceae undiff.
327,357,Betulaceae undiff.
1562,359,Celastrus
1693,361,Cornus
72,363,Juniperus-type
72,364,Juniperus/Thuja
85,365,Elaeagnus/Shepherdia argentea
23490,366,Ephedra
816,367,Ephedra torreyana-type
817,368,Ephedra nevadensis-type
2339,369,Fraxinus
369,370,Fraxinus quadrangulata-type
369,371,Fraxinus americana-type
1710,372,Juglans
329,373,Larix/Pseudotsuga
533,374,Pinaceae (vesiculate) undiff.
24094,375,Phoradendron
20932,376,Maclura pomifera
2026,377,Maclura-type
963,378,Iva annua
381,379,Myrica-type
883,380,Myrtaceae undiff.
1259,381,Myricaceae
25379,382,Myrica/Comptonia peregrina
381,383,Myrica
327,384,Ostrya-type
533,385,Pinus
213,386,Pinus edulis-type
15529,387,Piperaceae-type
347,388,Pistacia
1746,389,Populus
9097,390,Rutaceae
3392,391,Amaranthaceae
392,392,Styloceras
21811,393,Symphoricarpos-type
9112,394,Caprifoliaceae
72,395,Taxodium-type
397,396,Viburnum lentago
9524,397,Viburnum
397,398,Viburnum rafinesquianum-type
390,400,Zanthoxylum-type
5431,401,Amaranthus retroflexus-type
9690,402,Amorpha
1161,403,Anemone canadensis-type
350,404,Ranunculaceae (tricolpate)
350,405,Ranunculaceae (pericolpate)
1161,406,Anemone quinquefolia-type
815,407,Ranunculus flabellaris-type
9104,409,Asteraceae
9959,413,Asteraceae tribe Cynareae
417,414,Avena-type
417,415,Avena/Triticum
1947,416,Cerealia
9108,417,Poaceae
409,418,Asteraceae subf. Asteroideae
420,419,Brassica
9105,420,Brassicaceae
586,421,Campanula aparinoides-type
586,422,Campanula rotundifolia-type
5823,424,Cannabis sativa-type
42,425,Humulus
42,426,Cannabis sativa
416,427,Cerealia undiff.
257,428,Rhexia-type
74,430,Cyperaceae undiff.
9690,431,Dalea
204,432,Dalea candida
205,433,Dalea purpurea
1165,443,Dodecatheon
483,444,Dryas
9117,445,Onagraceae
445,446,Gaura
448,447,Gentiana andrewsii-type
119,448,Gentiana
123,449,Gomphrena
447,450,Gentiana andrewsii
9690,451,Hedysarum
32,452,Heliotropium
733,453,Hedyotis
7635,454,Hypoxis
963,456,Iva frutescens-type
9673,457,Cyclachaena xanthiifolia
391,458,Kochia-type
458,459,Kochia
9096,460,Lamiaceae
604,463,Cystopteris bulbifera
1816,464,Urticaceae
464,465,Laportea
1401,466,Lilium philadelphicum-type
539,467,Lysimachia quadriflora-type
539,468,Lysimachia thyrsiflora
9690,469,Medicago
445,470,Oenothera
32,471,Onosmodium
1680,472,Opuntia
7636,473,Orchidaceae
127,474,Angiospermae undiff. (upland herbs)
464,475,Parietaria
5262,476,Pedicularis
223,477,Phlox
1816,478,Pilea-type
464,479,Pilea
698,480,Plantago
702,481,Polygonella
2292,482,Polygonum tenue-type
9116,483,Rosaceae
244,484,Primula
74,486,Rhynchospora-type
282,487,Saxifraga
417,488,Secale-type
1262,489,Solanum rostratum
27285,490,Sphaeralcea
5465,491,Stachys-type
391,492,Suaeda-type
391,493,Tidestromia-type
493,494,Tidestromia
27608,495,Trifolium pratense
4918,496,Trifolium repens-type
417,497,Triticum-type
464,498,Urtica
1816,499,Urticales undiff.
1138,500,Verbena
7637,501,Zigadenus
4993,502,Cheilanthes
9551,504,Gymnocarpium
1695,505,Lycopodium-type
21598,506,Matteuccia/Onoclea sensibilis
9552,507,Onoclea sensibilis
1694,508,Ophioglossum
1206,509,Osmunda
286,510,Selaginella densa-type
286,511,Selaginella rupestris-type
5037,512,Thelypteris palustris-type
1177,513,Alisma
22,514,Hydrocotyle
159,515,Lemna
3468,516,Stuckenia
3468,517,Potamogeton
737,518,Ruppia maritima
15524,520,Cingutriletes
15529,522,Engelhardia-type
15527,523,Striatriletes
15529,525,Scrophulariaceae-type
223,526,Gilia-type
1302,527,Valeriana-type
2292,528,Polygonum californicum-type
306,529,Tsuga mertensiana
306,530,Tsuga heterophylla
531,531,carbonate
532,532,organic matter
329,533,Pinaceae (vesiculate)
72,534,Cupressaceae undiff.
535,535,Fungi
9504,536,Rumex/Oxyria digyna
417,538,Zea
244,539,Lysimachia
702,540,Polygonum
483,541,Prunus/Sorbus
85,542,Shepherdia
9120,543,Solanaceae
313,544,Unknown (Cretaceous)
45,545,Stellaria
27285,546,Malva
754,547,Unknown (alete) undiff.
2321,548,Botrychium simplex
350,549,Ranunculus
1,550,Abies balsamea
1333,551,Cornus sericea-type
338,552,Acer cf. A. pensylvanicum
338,553,Acer nigrum
338,554,Acer saccharinum
338,555,Acer saccharum
3742,556,Acorus calamus
1931,557,Allium-type
483,558,Amelanchier
775,559,Amphitrema
559,560,Amphitrema flavum
559,561,Amphitrema wrightianum
9125,562,Andromeda
564,563,Andromeda polifolia var. latifolia
562,564,Andromeda polifolia
2607,565,Aralia hispida
1189,566,Arcella artocrea
23,567,Arceuthobium pusillum
1162,568,Arctostaphylos uva-ursi
3853,569,Armeria maritima
775,570,Assulina
570,571,Assulina muscorum
570,572,Assulina seminulum
26,573,Athyrium filix-femina
29,574,Betula (shrub)
29,575,Betula alleghaniensis
29,576,Betula papyrifera
778,577,Bitectatodinium tepikiense
15529,578,cf. Bocconia
1333,579,Cornus sericea
778,580,Brigantedinium
580,581,Brigantedinium simplex
3970,582,Butomus umbellatus
9722,583,Calla palustris
15529,584,cf. Callitriche
350,585,Caltha-type
351,586,Campanula-type
44,587,Carya cordiformis
44,588,Carya ovata
2643,589,Cassiope tetragona-type
47,590,Castanea dentata
49,591,Celtis occidentalis
1510,592,Centaurea
50,593,Cephalanthus occidentalis
72,594,Chamaecyparis-type
52,595,Chamaecyparis thyoides
24007,597,Comptonia peregrina
164,598,Lonicera caerulea
27666,599,Cornus alternifolia
27667,600,Cornus canadensis
1333,601,Cornus rugosa
67,603,Corylus cornuta
9551,604,Cystopteris
604,605,Cystopteris fragilis
15529,606,cf. Diapensia lapponica
2263,607,Diervilla lonicera
775,608,Difflugia
608,609,Difflugia oviformis
608,610,Diflugia pyriformis
81,612,Drosera rotundifolia-type
1608,613,Dryopteris
84,615,Elaeagnus commutata
417,616,Elymus-type
,617,Epilobium angustifolium-type
90,618,Epilobium glandulosum-type
775,619,Euglypha
620,620,Foraminifera
117,621,Gaultheria hispidula
118,622,Gaylussacia baccata
9724,623,Glaux maritima
1192,625,Hyalosphenia elegans
1192,626,Hyalosphenia papilio
778,627,Impagidinium
778,628,Dinoflagellata undiff.
72,629,Cupressaceae cf. Juniperus communis
72,630,Juniperus horizontalis/J. virginiana-type
778,631,Tectatodinium pellitum
778,634,Lingulodinium machaerophorum
9526,635,Linnaea borealis
2276,636,Linum
2101,637,Littorella uniflora
638,638,Lobelia-type
148,639,Kalmia procumbens
164,640,Lonicera canadensis
164,641,Lonicera involucrata
164,642,Lonicera canadensis-type
445,644,Ludwigia
1180,645,Huperzia lucidula-type
1050,646,Pinguicula cf. P. villosa
15529,647,cf. Hypericum
2661,648,Diphasiastrum complanatum
2662,649,Diphasiastrum alpinum-type
1180,650,Lycopodium annotinum-type
1180,651,Lycopodium obscurum-type
2662,652,Diphasiastrum tristachyum-type
1180,653,Huperzia selago-type
5464,654,Lycopus
336,655,Lythrum salicaria
5464,656,Mentha-type
659,658,cf. Mnium
1244,659,Bryopsida
1159,660,Moneses uniflora
1159,661,Monotropa
1507,662,Morus rubra-type
778,663,Multispinula minuta
778,664,Selenopemphix quanta
32,665,Myosotis-type
383,666,Myrica gale
1346,667,Myriophyllum alterniflorum
188,668,Myriophyllum sibiricum-type
2279,669,Najas
778,670,Nematosphaeropsis labyrinthus
189,671,Nemopanthus mucronatus
21,672,Ilex/Nemopanthus
9110,673,Nymphaeaceae
2339,674,Oleaceae undiff.
778,675,Operculodinium centrocarpum
9535,676,Polypodiophyta
9534,677,Pteridophyta
833,678,Osmunda cinnamomea
509,679,Osmunda claytoniana
509,680,Osmunda regalis-type
15529,681,cf. Oxyria digyna
9504,682,Oxyria digyna-type
1067,683,Oxytropis maydelliana-type
9107,684,Papaveraceae
202,685,Pediastrum angulosum
202,686,Pediastrum boryanum
686,687,Pediastrum boryanum var. integrum
686,688,Pediastrum boryanum var. longicorne
202,689,Pediastrum braunii
202,690,Pediastrum duplex
202,691,Pediastrum kawraiskyi
202,692,Pediastrum simplex
202,693,Pediastrum tetras
9113,694,Euphorbiaceae
212,695,Pinus banksiana-type
212,696,Pinus resinosa-type
213,697,Pinus strobus
9096,698,Plantaginaceae
480,699,Plantago lanceolata-type
222,700,Platanus occidentalis
15529,701,Platanus/Callitriche
7656,702,Polygonaceae
9517,703,Bistorta officinalis-type
824,705,Bistorta vivipara
778,706,Polykrikos schartzii
835,707,Polypodium virginianum
778,708,Polysphaeridium zoharyi
389,709,Populus deltoides-type
389,710,Populus grandidentata-type
5664,711,Potamogetonaceae/Triglochin
242,712,Potentilla palustris-type
778,713,Protoperidinium
5464,714,Prunella-type
483,715,Prunus
715,716,Prunus pensylvanica
715,717,Prunus serotina
483,718,Rosaceae cf. Prunus serotina
715,719,Prunus virginiana
807,720,Pteridium aquilinum
1159,721,Pyrola
848,722,Ericaceae-type
256,723,Rhamnus alnifolia/Frangula alnus
726,724,Rhamnus/Vitis
785,725,Rhamnus cathartica
9652,726,Rhamnaceae/Vitaceae
259,727,Rhododendron canadense
731,728,Toxicodendron radicans
347,729,Rhus/Toxicodendron
260,730,Rhus typhina
347,731,Toxicodendron
262,732,Ribes cf. R. glandulosum
9100,733,Rubiaceae
267,734,Rubus chamaemorus
9504,735,Rumex-type
4073,736,Rumex acetosa-type
23510,737,Ruppia
271,738,Salix arctica-type
271,739,Salix herbacea-type
271,740,Salix reticulata-type
271,741,Salix vestita-type
277,742,Sanguisorba canadensis
7656,743,cf. Sarcobatus vermiculatus
280,745,Sarracenia purpurea
281,746,Saxifraga cernua-type
281,747,Saxifraga oppositifolia-type
27603,748,Micranthes stellaris-type
286,749,Selaginella rupestris
286,750,Selaginella selaginoides
9774,751,Typha
1121,752,Typha angustifolia
483,753,Spiraea
313,754,Unknown (alete)
